dcterms:identifier|dcterms:type|dcterms:hasPart|dcterms:title|rdfs:label|dcterms:description|dcterms:conformsTo|rdfs:range|crowds:derivedAnnoBodyFormat|crowds:derivedAnnoBodyLabelParts|crowds:derivedAnnoBodyPurpose|crowds:derivedAnnoBodyType|crowds:derivedAnnoCombine|crowds:derivedAnnoExternalize|crowds:derivedAnnoHumanReadable|crowds:derivedAnnoMotivatedBy|crowds:derivedAnnoSerialize|crowds:externalResourceModel|crowds:uiChoice|crowds:uiComponent|crowds:uiFormGroup|crowds:uiGroup|crowds:uiHidden|crowds:uiInputDefaultValue|crowds:uiInputOptions|crowds:uiInputType|crowds:uiMultiple|crowds:uiRequired|crowds:uiSelectorType|crowds:uiSelectorValue
54|madoc:element||Name of Local Tribunal |Name of Local Tribunal ||schema:AdministrativeArea|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case||||Aberaeron Borough/Urban District; Aberaeron Rural District; Aberystwyth Borough/Urban District; Aberystwyth Rural District; Cardigan Borough/Urban District; Cardigan Rural District; Lampeter Borough/Urban District; Lampeter Rural District; Llandysul Rural District; New Quay District; Tregaron District; Cardiganshire/Cardigan County; Unknown|madoc:dropdown|||WholeCanvasSelector|
55|madoc:element||Number of Case |Number of Case ||dcterms:identifier|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case|||||madoc:textbox|||WholeCanvasSelector|
56|madoc:element||Name|Name||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
57|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
58|madoc:element||Occupation, profession or business|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
59|madoc:element||Attested or not attested|Attested or not attested||schema:Boolean|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details|||||madoc:textbox|||WholeCanvasSelector|
60|madoc:element||Grounds|Grounds||dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Grounds|||||madoc:textarea|||WholeCanvasSelector|
61|madoc:element||Signature of appellant|Signature of appellant||dbpedia:signature|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Appellant details|||||madoc:textbox|||WholeCanvasSelector|
62|madoc:element||Address of appellant |Address of appellant ||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Appellant details|||||madoc:textbox|||WholeCanvasSelector|
63|madoc:element||Occupation, profession or business|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Appellant details|||||madoc:textbox|||WholeCanvasSelector|
64|madoc:element||Why appellant acts for the man|Why appellant acts for the man||dbpedia:purpose|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Appellant details|||||madoc:textbox|||WholeCanvasSelector|
65|madoc:element||Date|Date||schema:dateCreated|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Appellant details|||||madoc:datepicker|||WholeCanvasSelector|
220|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Pink R43/R44: Page 1||madoc:hiddenvalue|||WholeCanvasSelector|
66|madoc:group|67;68;210|Page 2|Page 2|Starts with the question: 'Reasons for the decision of the Local Tribunal' |||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
67|madoc:element||Reason for decision of Local Tribunal|Reason for decision of Local Tribunal||dbpedia:purpose|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging||||||||||madoc:textarea|||WholeCanvasSelector|
68|madoc:element||Decision |Decision ||schema:result|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging||||||||||madoc:textarea|||WholeCanvasSelector|
210|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Pink R43/R44: Page 2||madoc:hiddenvalue|||WholeCanvasSelector|
94|madoc:group|95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;200|Page 1|Page 1|Includes the title 'Form for Voluntarily Attested Men' and R52 or R53 in the header|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
95|madoc:element||Name of Local Tribunal|Name of Local Tribunal||schema:AdministrativeArea|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case||||Aberaeron Borough/Urban District; Aberaeron Rural District; Aberystwyth Borough/Urban District; Aberystwyth Rural District; Cardigan Borough/Urban District; Cardigan Rural District; Lampeter Borough/Urban District; Lampeter Rural District; Llandysul Rural District; New Quay District; Tregaron District; Cardiganshire/Cardigan County; Unknown|madoc:dropdown|||WholeCanvasSelector|
96|madoc:element||Number of Case|Number of Case||dcterms:identifier|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case|||||madoc:textbox|||WholeCanvasSelector|
97|madoc:element||Name|Name||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
98|madoc:element||Age|Age||foaf:age|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
99|madoc:element||Date of birth|Date of birth||schema:birthDate|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:datepicker|||WholeCanvasSelector|
100|madoc:element||Married or single|Married or single||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
101|madoc:element||Date of marriage|Date of marriage||schema:Date|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:datepicker|||WholeCanvasSelector|
102|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
103|madoc:element||Address at date of National Registration |Address at date of National Registration ||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
104|madoc:element||Where attested|Where attested||schema:place|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Attestation details|||||madoc:textbox|||WholeCanvasSelector|
105|madoc:element||Date of attestation |Date of attestation ||schema:Date|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Attestation details|||||madoc:datepicker|||WholeCanvasSelector|
106|madoc:element||Number of group |Number of group ||schema:organisation|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Attestation details|||||madoc:textbox|||WholeCanvasSelector|
107|madoc:element||Number on group card|Number on group card||schema:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Attestation details|||||madoc:textbox|||WholeCanvasSelector|
108|madoc:element||Occupation, profession or business|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
109|madoc:element||Precise occupation before 15 August 1915|Precise occupation before 15 August 1915||schema:location|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
110|madoc:element||Length of occupation before 15 August 1915|Length of occupation before 15 August 1915||schema:Duration|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
111|madoc:element||Name and address of last employer before 15 August 1915|Name and address of last employer before 15 August 1915||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
112|madoc:element||Name of employer|Name of employer||schema:legalName|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
113|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
114|madoc:element||Business|Business||schema:BusinessEntityType|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
115|madoc:element||Grounds |Grounds ||dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Grounds |||||madoc:textbox|||WholeCanvasSelector|
116|madoc:element||Nature of application|Nature of application||dcndl:transcription|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||Nature of Application |||||madoc:textarea|||WholeCanvasSelector|
200|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Blue R52/53, page 1||madoc:hiddenvalue|||WholeCanvasSelector|
117|madoc:group|118;119;120;121;122;123;124;125;190|Page 2|Page 2|Starts with the question: 'Reasons in support of the application' |||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
118|madoc:element||Reasons in support of the application |Reasons in support of the application ||dbpedia:purpose|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||Reasons|||||madoc:textarea|||WholeCanvasSelector|
119|madoc:element||Whether any previous application has been made|Whether any previous application has been made||schema:Boolean|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||Previous applications|||||madoc:textarea|||WholeCanvasSelector|
120|madoc:element||Signature|Signature||dbpedia:signature|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
121|madoc:element||Address |Address ||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
122|madoc:element||Occupation, profession or business|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
123|madoc:element||Why appellant acts for the man|Why appellant acts for the man||dbpedia:purpose|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
124|madoc:element||Date |Date ||schema:dateCreated|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:datepicker|||WholeCanvasSelector|
125|madoc:element||Decision of Tribunal|Decision of Tribunal||schema:result|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Decision|||||madoc:textarea|||WholeCanvasSelector|
190|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Blue R52/53, page 2||madoc:hiddenvalue|||WholeCanvasSelector|
127|madoc:group|128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;180|Page 1|Page 1|Includes the title 'Application as to Exemption from Military Service' and R186 or R187 in the header|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
128|madoc:element||Name of Tribunal |Name of Tribunal ||schema:AdministrativeArea|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case||||Aberaeron Borough/Urban District; Aberaeron Rural District; Aberystwyth Borough/Urban District; Aberystwyth Rural District; Cardigan Borough/Urban District; Cardigan Rural District; Lampeter Borough/Urban District; Lampeter Rural District; Llandysul Rural District; New Quay District; Tregaron District; Cardiganshire/Cardigan County; Unknown|madoc:dropdown|||WholeCanvasSelector|
129|madoc:element||Number of Case|Number of Case||dcterms:identifier|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Case|||||madoc:textbox|||WholeCanvasSelector|
130|madoc:element||Name |Name ||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
131|madoc:element||Age|Age||foaf:age|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
132|madoc:element||Date of birth|Date of birth||schema:birthDate|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:datepicker|||WholeCanvasSelector|
133|madoc:element||Medical grade category |Medical grade category ||foaf:name|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
134|madoc:element||Date of last examination |Date of last examination ||schema:Date|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:datepicker|||WholeCanvasSelector|
135|madoc:element||Married or single|Married or single||schema:Boolean|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
136|madoc:element||Date of marriage |Date of marriage ||schema:Date|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:datepicker|||WholeCanvasSelector|
137|madoc:element||Regional number|Regional number||schema:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
138|madoc:element||Voluntarily attested|Voluntarily attested||schema:Boolean|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Personal details |||||madoc:textbox|||WholeCanvasSelector|
139|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Address|||||madoc:textbox|||WholeCanvasSelector|
140|madoc:element||Address on National Registration Certificate|Address on National Registration Certificate||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Address|||||madoc:textbox|||WholeCanvasSelector|
141|madoc:element||Occupation, profession or business|Occupation, profession or business||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
142|madoc:element||Address of place of employment |Address of place of employment ||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
143|madoc:element||Precise occupation before 15 August 1915|Precise occupation before 15 August 1915||schema:jobTitle|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
144|madoc:element||Length of occupation before 15 August 1915|Length of occupation before 15 August 1915||schema:Duration|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
145|madoc:element||Name and address of last employer before 15 August 1915|Name and address of last employer before 15 August 1915||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Occupation|||||madoc:textbox|||WholeCanvasSelector|
146|madoc:element||Name of employer|Name of employer||schema:legalName|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
147|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
148|madoc:element||Business|Business||schema:BusinessEntityType|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Present employer|||||madoc:textbox|||WholeCanvasSelector|
149|madoc:element||Nature of application |Nature of application ||dcndl:transcription|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||Nature of application |||||madoc:textbox|||WholeCanvasSelector|
150|madoc:element||Grounds|Grounds||dcndl:transcription|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Grounds|||||madoc:textbox|||WholeCanvasSelector|
151|madoc:element||Reasons in support of application |Reasons in support of application ||dbpedia:purpose|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging|||||Reasons|||||madoc:textarea|||WholeCanvasSelector|
180|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Beige R186/187, page 1||madoc:hiddenvalue|||WholeCanvasSelector|
152|madoc:group|153;154;155;156;157;158;159;160;161|Page 2|Page 2|Starts with: 'Continued...'|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
153|madoc:element||Continued …|Continued …||dcndl:transcription|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging||||||||||madoc:textarea|||WholeCanvasSelector|
154|madoc:element||Whether any previous application has been made|Whether any previous application has been made||schema:Boolean|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Previous application|||||madoc:textarea|||WholeCanvasSelector|
155|madoc:element||Change of conditions or circumstances|Change of conditions or circumstances||schema:Boolean|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Change of conditions or circumstances|||||madoc:textarea|||WholeCanvasSelector|
156|madoc:element||Signature of the applicant|Signature of the applicant||dbpedia:signature|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
157|madoc:element||Address|Address||schema:address|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
158|madoc:element||Signature of the man |Signature of the man ||dbpedia:signature|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:textbox|||WholeCanvasSelector|
159|madoc:element||Date |Date ||schema:dateCreated|schema:Date|text/plain||oa:identifying|text/plain||||oa:tagging|||||Applicant details|||||madoc:datepicker|||WholeCanvasSelector|
160|madoc:element||Decision of the Tribunal |Decision of the Tribunal ||schema:result|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||Decision|||||madoc:textarea|||WholeCanvasSelector|
161|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Beige R186/187, page 2||madoc:hiddenvalue|||WholeCanvasSelector|
170|madoc:group|171;172;173;174;175|Other|Other|Any other type of form or document|||text/plain|||text/plain|False|False|False|oa:tagging|True||False|||madoc:form|||||False||WholeCanvasSelector|
171|madoc:element||Description|Description|Please describe the contents of this document|dcterms:description|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging||||||||||madoc:textarea|||WholeCanvasSelector|
172|madoc:element||Transcription|Transcription|Please transcribe as much as you can of this document|dcndl:transcription|rdfs:literal|text/plain||oa:describing|text/plain||||oa:tagging||||||||||madoc:textarea|||WholeCanvasSelector|
172|madoc:element||Name of Tribunal |Name of Tribunal |If the name of Local Tribunal is known, please include the details here|schema:AdministrativeArea|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||||Aberaeron Borough/Urban District; Aberaeron Rural District; Aberystwyth Borough/Urban District; Aberystwyth Rural District; Cardigan Borough/Urban District; Cardigan Rural District; Lampeter Borough/Urban District; Lampeter Rural District; Llandysul Rural District; New Quay District; Tregaron District; Cardiganshire/Cardigan County; Unknown|madoc:dropdown|||WholeCanvasSelector|
174|madoc:element||Number of Case|Number of Case|If the case number is known, please include the details here|dcterms:identifier|xsd:integer|text/plain||oa:identifying|text/plain||||oa:tagging||||||||||madoc:textbox|||WholeCanvasSelector|
175|madoc:element||Tag|Tag||dcterms:identifier|rdfs:literal|text/plain||oa:identifying|text/plain||||oa:tagging|||||||TRUE|Unknown document type||madoc:hiddenvalue|||WholeCanvasSelector|
